persona_uuid,run_number,sex,age_bracket,agree_bucket,total_victim_turns,mild_duration,mild_observed,high_duration,high_observed,max_engagement,retreat_rate,retreat_count,authority_count,urgency_count,trust_building_count,fear_induction_count
266f8c14-127b-4635-9fdf-7445cd381cfc,4,Male,18-30,low,24,3,1,11,1,3,0.2083333333333333,5,4,7,16,3
266f8c14-127b-4635-9fdf-7445cd381cfc,5,Male,18-30,low,30,4,1,13,1,3,0.3,9,2,11,24,1
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,1,Female,31-50,high,30,4,1,10,1,3,0.3666666666666666,11,5,4,21,4
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,2,Female,31-50,high,30,5,1,30,0,3,0.4,12,4,11,18,5
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,3,Female,31-50,high,30,6,1,30,0,3,0.2333333333333333,7,1,9,22,0
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,4,Female,31-50,high,30,5,1,7,1,2,0.3666666666666666,11,5,1,21,0
5ee84b2e-98d4-44dc-9e6f-a5a369c36c12,5,Female,31-50,high,30,5,1,30,0,3,0.3333333333333333,10,3,10,20,3
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,1,Male,51-70+,low,30,4,1,8,1,2,0.4333333333333333,13,4,1,21,2
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,2,Male,51-70+,low,30,4,1,5,1,2,0.5,15,12,2,16,1
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,3,Male,51-70+,low,26,4,1,26,0,3,0.2307692307692307,6,6,6,18,1
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,4,Male,51-70+,low,7,2,1,7,0,2,0.1428571428571428,1,2,0,6,0
50bc1d81-37b3-4b19-94b2-8cc429d6dff6,5,Male,51-70+,low,30,4,1,30,0,3,0.3333333333333333,10,5,3,21,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,1,Male,31-50,low,30,6,1,30,0,3,0.1666666666666666,5,10,5,24,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,2,Male,31-50,low,30,5,1,9,1,2,0.4,12,4,1,18,0
18bcda3d-eccc-4e8c-aaab-940f547ada36,3,Male,31-50,low,30,3,1,6,1,2,0.5333333333333333,16,4,1,13,0
18bcda3d-eccc-4e8c-aaab-940f547ada36,4,Male,31-50,low,12,3,1,4,1,2,0.3333333333333333,4,3,2,9,2
18bcda3d-eccc-4e8c-aaab-940f547ada36,5,Male,31-50,low,23,4,1,23,0,2,0.375,9,2,4,19,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,1,Female,18-30,high,30,3,1,30,0,3,0.2333333333333333,7,5,6,15,3
1d7e079d-cc92-47ea-9369-ea170a6799d5,2,Female,18-30,high,11,7,1,11,0,3,0.2727272727272727,3,3,1,11,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,3,Female,18-30,high,25,5,1,25,1,3,0.28,7,4,14,15,6
1d7e079d-cc92-47ea-9369-ea170a6799d5,4,Female,18-30,high,30,4,1,30,0,3,0.5,15,2,4,21,1
1d7e079d-cc92-47ea-9369-ea170a6799d5,5,Female,18-30,high,30,4,1,30,0,2,0.4666666666666667,14,7,5,19,1
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,1,Female,51-70+,low,30,3,1,5,1,2,0.4333333333333333,13,8,0,14,4
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,2,Female,51-70+,low,28,1,1,10,1,3,0.4285714285714285,12,5,2,21,0
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,3,Female,51-70+,low,30,2,1,7,1,2,0.4666666666666667,14,4,1,16,0
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,4,Female,51-70+,low,25,3,1,9,1,2,0.52,13,4,0,15,0
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,5,Female,51-70+,low,30,5,1,13,1,2,0.5333333333333333,16,6,0,19,0
4448c8e7-3363-405e-92c1-571510bb470a,1,Male,51-70+,high,30,5,1,30,0,3,0.3,9,6,4,21,3
4448c8e7-3363-405e-92c1-571510bb470a,2,Male,51-70+,high,30,3,1,30,0,2,0.4666666666666667,14,12,2,23,0
4448c8e7-3363-405e-92c1-571510bb470a,3,Male,51-70+,high,30,7,1,30,0,2,0.3666666666666666,11,6,0,19,0
4448c8e7-3363-405e-92c1-571510bb470a,4,Male,51-70+,high,19,3,1,19,0,3,0.3157894736842105,6,5,3,16,0
4448c8e7-3363-405e-92c1-571510bb470a,5,Male,51-70+,high,30,5,1,30,0,2,0.5333333333333333,16,3,2,14,0
534031b6-c902-4b63-be91-71d09571b0ad,1,Female,51-70+,high,30,5,1,30,0,3,0.3333333333333333,10,3,0,16,2
534031b6-c902-4b63-be91-71d09571b0ad,2,Female,51-70+,high,30,3,1,30,0,2,0.5333333333333333,16,2,1,17,1
534031b6-c902-4b63-be91-71d09571b0ad,3,Female,51-70+,high,30,5,1,30,0,3,0.1666666666666666,5,4,5,23,2
534031b6-c902-4b63-be91-71d09571b0ad,4,Female,51-70+,high,30,5,1,30,0,2,0.4,12,6,0,19,0
534031b6-c902-4b63-be91-71d09571b0ad,5,Female,51-70+,high,30,5,1,30,0,2,0.4,12,4,5,23,4
50ffb81e-5c9e-48d7-a312-f7c23ce90838,1,Female,18-30,low,30,5,1,10,1,3,0.4666666666666667,14,3,3,18,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,2,Female,18-30,low,30,5,1,7,1,2,0.5333333333333333,16,6,2,19,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,3,Female,18-30,low,30,2,1,20,1,3,0.4333333333333333,13,5,4,19,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,4,Female,18-30,low,30,3,1,5,1,3,0.5,15,3,8,17,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,5,Female,18-30,low,30,6,1,13,1,3,0.4333333333333333,13,10,0,17,0
05d360b1-730b-40ef-ad05-5e660f508c32,1,Female,31-50,low,30,4,1,23,1,3,0.4,12,7,2,23,0
05d360b1-730b-40ef-ad05-5e660f508c32,2,Female,31-50,low,30,3,1,30,0,2,0.4666666666666667,14,6,4,16,0
05d360b1-730b-40ef-ad05-5e660f508c32,3,Female,31-50,low,30,3,1,30,0,3,0.4666666666666667,14,6,5,17,3
05d360b1-730b-40ef-ad05-5e660f508c32,4,Female,31-50,low,30,3,1,30,0,2,0.5333333333333333,16,9,1,16,0
05d360b1-730b-40ef-ad05-5e660f508c32,5,Female,31-50,low,30,5,1,8,1,2,0.3666666666666666,11,6,2,17,1
