persona_uuid,run_number,sex,age_bracket,agree_bucket,total_victim_turns,closure_duration,closure_observed,retreat_count,retreat_rate,authority_count,urgency_count,trust_building_count,fear_induction_count
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,4,Female,51-70+,low,25,10,1,13,0.52,4,0,15,0
0b0f8f2b-7634-4c51-b8d2-2cde27420da8,5,Female,51-70+,low,30,7,1,16,0.5333333333333333,6,0,19,0
4448c8e7-3363-405e-92c1-571510bb470a,1,Male,51-70+,high,30,10,1,9,0.3,6,4,21,3
4448c8e7-3363-405e-92c1-571510bb470a,2,Male,51-70+,high,30,13,1,14,0.4666666666666667,12,2,23,0
4448c8e7-3363-405e-92c1-571510bb470a,3,Male,51-70+,high,30,9,1,11,0.36666666666666664,6,0,19,0
4448c8e7-3363-405e-92c1-571510bb470a,4,Male,51-70+,high,19,10,1,6,0.3157894736842105,5,3,16,0
4448c8e7-3363-405e-92c1-571510bb470a,5,Male,51-70+,high,30,6,1,16,0.5333333333333333,3,2,14,0
534031b6-c902-4b63-be91-71d09571b0ad,1,Female,51-70+,high,30,7,1,10,0.3333333333333333,3,0,16,2
534031b6-c902-4b63-be91-71d09571b0ad,2,Female,51-70+,high,30,10,1,16,0.5333333333333333,2,1,17,1
534031b6-c902-4b63-be91-71d09571b0ad,3,Female,51-70+,high,30,21,1,5,0.16666666666666666,4,5,23,2
534031b6-c902-4b63-be91-71d09571b0ad,4,Female,51-70+,high,30,16,1,12,0.4,6,0,19,0
534031b6-c902-4b63-be91-71d09571b0ad,5,Female,51-70+,high,30,10,1,12,0.4,4,5,23,4
50ffb81e-5c9e-48d7-a312-f7c23ce90838,1,Female,18-30,low,30,8,1,14,0.4666666666666667,3,3,18,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,2,Female,18-30,low,30,13,1,16,0.5333333333333333,6,2,19,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,3,Female,18-30,low,30,30,0,13,0.43333333333333335,5,4,19,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,4,Female,18-30,low,30,8,1,15,0.5,3,8,17,0
50ffb81e-5c9e-48d7-a312-f7c23ce90838,5,Female,18-30,low,30,11,1,13,0.43333333333333335,10,0,17,0
05d360b1-730b-40ef-ad05-5e660f508c32,1,Female,31-50,low,30,13,1,12,0.4,7,2,23,0
05d360b1-730b-40ef-ad05-5e660f508c32,2,Female,31-50,low,30,15,1,14,0.4666666666666667,6,4,16,0
05d360b1-730b-40ef-ad05-5e660f508c32,3,Female,31-50,low,30,6,1,14,0.4666666666666667,6,5,17,3
05d360b1-730b-40ef-ad05-5e660f508c32,4,Female,31-50,low,30,6,1,16,0.5333333333333333,9,1,16,0
05d360b1-730b-40ef-ad05-5e660f508c32,5,Female,31-50,low,30,21,1,11,0.36666666666666664,6,2,17,1
